<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DXS,20210804,25.7000,26.6000,25.5000,26.6000,968900
DXS,20210805,26.6000,27.3000,26.0000,27.2000,669700
DXS,20210806,27.2000,28.4000,26.6000,27.9000,1231300
DXS,20210809,28.0000,29.4000,27.5000,29.2000,1111500
DXS,20210810,29.6000,29.6000,28.4000,29.2000,515209
DXS,20210811,29.2000,29.2000,28.4000,28.4000,746800
DXS,20210812,28.4000,28.8000,28.0000,28.4000,321940
DXS,20210813,28.4000,28.5000,27.9000,28.2000,489600
DXS,20210816,28.6000,29.6000,28.3000,29.1000,631400
DXS,20210817,29.2000,29.4000,28.4000,28.4000,472800
DXS,20210818,28.4000,29.2000,28.0000,28.0000,245000
DXS,20210819,28.0000,28.2000,27.7000,28.0000,416400
DXS,20210820,28.2000,28.4000,26.6000,27.0000,955300
DXS,20210823,26.7000,27.1000,25.1000,25.7000,665806
DXS,20210824,25.8000,27.5000,25.8000,26.8000,421760
DXS,20210825,27.0000,27.3000,26.6000,27.2000,356631
DXS,20210826,27.8000,28.7000,27.5000,28.5000,1064500
DXS,20210827,28.5000,28.6000,27.5000,28.5000,769600
DXS,20210830,28.5000,28.5000,28.5000,28.5000,0
DXS,20210831,28.5000,28.5000,28.5000,28.5000,0
DXS,20210901,28.5000,28.5000,28.5000,28.5000,0
DXS,20210906,28.5000,29.0000,27.5500,28.5000,499400
DXS,20210907,28.6000,28.6000,27.8000,28.0000,231300
DXS,20210908,28.0000,28.4500,27.8000,28.3500,336000
DXS,20210909,28.3000,28.3500,28.0000,28.0500,160000
DXS,20210910,28.0000,28.3000,28.0000,28.1000,293000
DXS,20210913,28.1000,28.9000,27.9500,28.8500,527700
DXS,20210914,28.8000,28.8000,28.4000,28.5500,218100
DXS,20210915,28.4000,28.6000,28.2000,28.5500,224600
DXS,20210916,28.5500,28.5500,28.0000,28.2000,298200
DXS,20210917,28.2000,29.0000,28.0000,29.0000,925800
DXS,20210920,29.0000,29.3000,28.6000,28.7000,269700
DXS,20210921,28.0500,28.6000,28.0000,28.5000,236200
DXS,20210922,28.2000,28.5000,28.1500,28.2000,263100
DXS,20210923,28.2000,29.0000,28.2000,28.8000,1073000
DXS,20210924,28.6000,28.9500,28.6000,28.9000,148400
DXS,20210927,28.9000,29.7000,28.5000,29.0000,818700
DXS,20210928,28.9000,28.9000,28.4000,28.7500,263200
DXS,20210929,28.5000,28.6500,28.4500,28.4500,154300
DXS,20210930,28.5000,28.8000,28.3500,28.6000,289700
DXS,20211001,28.6000,28.8000,28.3000,28.3000,262600
DXS,20211004,28.5000,28.5000,28.0500,28.4000,151200
DXS,20211005,28.4000,28.6500,28.1500,28.6500,245900
DXS,20211006,28.7000,29.0500,28.5000,28.8000,232600
DXS,20211007,28.9000,29.0000,28.5000,28.9000,324900
DXS,20211008,28.9000,29.0000,28.5000,28.9000,354300
DXS,20211011,29.2500,30.9000,29.1000,30.9000,1808100
DXS,20211012,31.6000,32.8000,31.0000,32.5000,1325500
DXS,20211013,32.1000,33.4000,31.9000,32.4500,343100
DXS,20211014,31.8000,32.2500,31.5500,31.5500,1105400
DXS,20211015,31.8000,32.0000,30.3000,31.2000,1207100
DXS,20211018,31.2000,32.1000,30.9000,31.0000,545800
DXS,20211019,31.0000,31.5000,30.5000,31.5000,579700
DXS,20211020,31.5000,31.5000,29.5500,30.8000,450700
DXS,20211021,31.1000,31.1000,30.0000,30.3000,328400
DXS,20211022,30.0500,30.7500,30.0500,30.3000,628400
DXS,20211025,30.3000,30.7000,29.6000,29.6000,536600
DXS,20211026,29.3000,29.3000,28.3500,29.0000,799200
DXS,20211027,29.0500,30.7000,29.0500,30.6000,427200
DXS,20211028,31.0000,31.0000,30.0000,30.6000,616000
DXS,20211029,30.4500,30.4500,29.8000,30.4000,872200
DXS,20211101,30.5000,30.8000,30.1000,30.6000,1538400
DXS,20211102,30.6000,31.5000,30.1500,31.4000,2067400
DXS,20211103,31.7500,31.7500,30.3000,30.8000,1287700
DXS,20211104,30.7500,31.0000,30.2500,30.9000,1179100
DXS,20211105,31.0000,31.0000,30.2000,30.3500,697700
DXS,20211108,30.3500,31.0000,30.3500,30.9500,843200
DXS,20211109,30.9000,30.9000,30.5000,30.6000,1069200
DXS,20211110,30.6500,31.4000,30.6500,31.1000,1227800
DXS,20211111,31.1000,31.3000,30.3000,30.5000,1173500
DXS,20211112,30.6000,30.8000,30.0500,30.5000,470100
DXS,20211115,30.5000,31.6500,30.4000,31.0500,1291100
DXS,20211116,31.5000,31.5000,30.7000,30.7000,593700
DXS,20211117,30.6000,31.2000,30.6000,31.1000,734300
DXS,20211118,31.1000,32.5000,31.1000,32.1500,1477400
DXS,20211119,32.7000,33.5000,32.1500,32.7500,2633500
DXS,20211122,32.7500,33.0000,31.8000,31.9000,698200
DXS,20211123,31.7000,32.2000,31.5000,31.8000,667300
DXS,20211124,31.8000,33.1500,31.5000,32.0000,1248300
DXS,20211125,32.9000,33.4000,32.1000,32.6500,1585900
DXS,20211126,32.6500,32.8000,31.2000,31.2000,1236300
DXS,20211129,30.4000,31.4500,30.3000,30.6500,1456600
DXS,20211130,30.7000,32.7500,30.7000,32.7500,901100
DXS,20211201,35.0000,35.0000,33.0500,34.0000,2782400
DXS,20211202,33.2000,34.0000,33.2000,33.9000,689300
DXS,20211203,33.8500,34.0000,32.9000,32.9000,1112700
DXS,20211206,32.3000,33.7000,30.7500,32.0000,1276900
DXS,20211207,32.2000,32.8000,31.8000,32.5000,473100
DXS,20211208,32.6000,33.8500,32.1000,33.8500,626300
DXS,20211209,33.8500,36.2000,33.5000,36.2000,2136300
DXS,20211210,36.2000,37.3500,36.2000,36.9500,1389500
DXS,20211213,37.0000,38.5000,36.8500,38.5000,919300
DXS,20211214,37.2000,38.5000,37.0000,37.2000,991600
DXS,20211215,36.5000,37.2500,36.5000,36.6000,673200
DXS,20211216,36.6000,38.4000,36.6000,38.2000,795900
DXS,20211217,38.9500,38.9500,37.9000,37.9500,532700
DXS,20211220,38.2500,38.2500,36.6000,36.7500,547900
DXS,20211221,36.7500,37.5000,35.7500,36.5000,521000
DXS,20211222,37.1000,37.2000,36.4500,37.0000,308700
DXS,20211223,38.0000,38.0000,35.2000,35.9000,560800
DXS,20211224,35.2000,36.5500,35.2000,36.5000,264300
DXS,20211227,36.9500,37.0000,36.0000,36.1000,122100
DXS,20211228,36.3500,37.1000,36.2000,36.9500,430200
DXS,20211229,37.0000,37.4500,36.9000,37.0000,447800
DXS,20211230,37.0000,37.0000,35.6000,35.6500,273900
DXS,20211231,35.5000,37.3000,33.9500,37.3000,900700
DXS,20220104,37.0000,37.9000,35.5000,37.0000,368900
DXS,20220105,37.0000,37.2000,36.1000,36.5000,333900
DXS,20220106,36.5000,37.8000,36.0000,37.0000,1053000
DXS,20220107,37.0000,37.0000,36.3000,36.3000,337600
DXS,20220110,36.3000,37.0000,35.7000,36.1000,477900
DXS,20220111,35.8500,37.0000,35.0000,36.6000,604100
DXS,20220112,34.6500,36.5000,34.5000,34.6500,741600
DXS,20220113,35.0000,35.4500,34.0000,34.0000,663900
DXS,20220114,32.9000,35.2000,32.9000,35.2000,209300
DXS,20220117,35.9500,35.9500,35.0000,35.7000,136900
DXS,20220118,34.4000,34.4000,32.5000,34.0000,246200
DXS,20220119,32.6500,35.0000,32.6500,34.0000,252200
DXS,20220120,34.0000,34.4000,32.9000,33.6500,154800
DXS,20220121,34.0000,34.0000,33.3000,33.4000,100500
DXS,20220124,34.5000,34.5000,31.9500,32.4000,230700
DXS,20220125,32.0000,34.4500,31.0000,34.4500,316200
DXS,20220126,33.1000,34.3500,32.2000,32.3500,204900
DXS,20220127,32.5000,34.0000,32.0000,32.9000,321800
DXS,20220128,32.9000,33.7500,32.8500,33.0000,164300
DXS,20220207,32.6000,33.4000,32.4500,33.1000,519300
DXS,20220208,33.1000,34.8000,33.0000,34.8000,1233600
DXS,20220209,34.5000,34.5000,34.0000,34.2000,330600
DXS,20220210,34.7500,34.8000,34.0000,34.8000,711100
DXS,20220211,34.1000,35.0000,34.1000,34.4500,131400
DXS,20220214,34.4500,34.5000,34.0000,34.4000,502700
DXS,20220215,34.6000,35.2000,34.3500,35.0000,890600
DXS,20220216,35.3000,35.5000,34.8000,34.8500,627100
DXS,20220217,34.8500,35.3000,34.6000,35.0000,556400
DXS,20220218,34.2000,35.0500,34.2000,35.0000,342300
DXS,20220221,35.2000,36.0000,35.0000,35.5500,1417300
DXS,20220222,35.0500,35.5000,34.0000,35.2000,852900
DXS,20220223,34.6000,36.2000,34.6000,35.9500,1839900
DXS,20220224,35.9500,38.0000,35.4500,37.7500,2581500
DXS,20220225,37.8000,40.3500,37.7500,40.3500,3829700
