<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GTN,20141003,7.0490,7.0490,7.0490,7.0490,168870
GTN,20141006,7.4966,7.4966,7.4965,7.4965,81110
GTN,20141007,8.0000,8.0000,8.0000,8.0000,40150
GTN,20141008,8.5594,8.5594,8.5594,8.5594,155050
GTN,20141009,9.1188,9.1189,9.1188,9.1189,1874730
GTN,20141010,9.7343,9.7343,9.7343,9.7343,229320
GTN,20141013,10.4056,10.4056,10.3497,10.4056,617750
GTN,20141014,11.1329,11.1329,11.0210,11.1329,897770
GTN,20141015,11.1888,11.8602,11.1888,11.8601,701770
GTN,20141016,11.1888,11.7482,11.1888,11.3566,345150
GTN,20141017,11.0209,11.7482,10.6293,10.6294,241620
GTN,20141020,10.0700,11.3567,10.0140,10.1818,432130
GTN,20141021,10.1818,10.7413,10.0699,10.7413,486500
GTN,20141022,10.8532,11.1889,10.6294,11.1329,509800
GTN,20141023,11.1888,11.7483,11.0770,11.1329,2064640
GTN,20141024,11.2448,11.8602,11.2448,11.8601,1635980
GTN,20141027,11.8042,11.8601,11.1888,11.3566,1115350
GTN,20141028,10.5734,10.9650,10.5734,10.6294,994060
GTN,20141029,10.6294,10.9651,10.5735,10.9091,1009870
GTN,20141030,11.0769,11.3007,10.9091,11.1888,1756850
GTN,20141031,11.3007,11.9720,11.2447,11.6364,8143710
GTN,20141103,11.7483,12.0280,11.6364,11.8601,1117430
GTN,20141104,11.7482,11.7482,11.1888,11.4126,959910
GTN,20141105,11.1888,11.4685,11.1329,11.4126,846830
GTN,20141106,11.4126,11.4126,11.1888,11.1888,806310
GTN,20141107,11.1888,11.4126,11.0769,11.1329,1729230
GTN,20141110,11.1888,11.4686,11.1329,11.3566,823310
GTN,20141111,11.4125,11.8601,11.3007,11.6364,1305980
GTN,20141112,11.4686,11.7483,11.4686,11.7483,709480
GTN,20141113,11.7483,11.9161,11.4126,11.7483,990990
GTN,20141114,11.7483,11.7483,11.4686,11.6364,457740
