<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HVN,20170103,32.5815,32.5815,32.5815,32.5815,700
HVN,20170104,37.4022,37.4022,37.4022,37.4022,8868
HVN,20170105,42.9710,42.9710,38.2334,40.9762,764180
HVN,20170106,43.3866,43.3866,36.5711,36.5711,250926
HVN,20170109,38.3997,38.3997,34.0776,34.7425,159553
HVN,20170110,34.7425,36.6542,32.6646,35.7399,129615
HVN,20170111,35.1581,36.5711,34.9087,36.1555,91056
HVN,20170112,35.9062,36.1555,35.3243,35.3243,113008
HVN,20170113,35.2412,35.4074,34.9087,35.0750,168714
HVN,20170116,34.9088,34.9088,33.3296,34.0776,111337
HVN,20170117,33.6620,33.8283,32.8309,33.1633,163282
HVN,20170118,32.8308,33.1633,31.5841,32.4153,115276
HVN,20170119,32.2491,32.8309,31.8335,32.4153,67936
HVN,20170120,31.9997,32.2491,31.4179,31.6672,172546
HVN,20170123,31.5841,31.7503,31.4179,31.6672,95764
HVN,20170124,31.5841,31.9997,31.5841,31.8335,92226
HVN,20170125,31.6673,32.1660,31.5842,31.9997,144059
HVN,20170202,32.4153,32.4984,31.6672,32.3322,35528
HVN,20170203,32.6647,32.9140,32.0829,32.1659,191300
HVN,20170206,32.4152,32.4152,31.8334,32.0828,86780
HVN,20170207,31.9997,31.9997,31.5841,31.7503,131437
HVN,20170208,31.5841,32.5815,31.5841,32.2490,95870
HVN,20170209,32.3321,32.3321,31.9997,32.1659,76107
HVN,20170210,32.1659,35.7399,32.1659,35.6568,440047
HVN,20170213,35.7399,37.2360,35.3243,36.6542,281767
HVN,20170214,36.7373,36.9867,35.1581,35.1581,239390
HVN,20170215,34.9919,35.4906,34.3269,34.4932,364184
HVN,20170216,34.5763,34.5763,32.7478,32.9971,583476
HVN,20170217,32.6646,32.9971,32.3322,32.8309,765046
HVN,20170220,33.3296,35.2413,32.8309,34.8256,2727835
HVN,20170221,35.7399,35.7399,33.7451,33.9945,419088
HVN,20170222,34.1607,34.1607,32.9971,33.4958,484550
HVN,20170223,33.1633,33.1633,28.5088,29.8387,5427447
HVN,20170224,30.5867,30.5867,26.0154,27.4283,6416518
HVN,20170227,27.4283,31.2516,27.4283,31.2516,6787409
HVN,20170228,33.2464,33.2464,27.4283,29.0906,4390004
HVN,20170301,29.0906,29.6724,28.3426,28.9244,2181891
HVN,20170302,29.0906,29.5893,28.4257,28.8413,1199643
HVN,20170303,29.0075,29.7556,27.6777,28.2595,1844220
HVN,20170306,28.2595,28.3426,26.8465,26.9296,2226822
HVN,20170307,26.8465,28.6750,25.3504,26.9296,1606464
HVN,20170308,26.8465,28.2595,26.5971,27.8439,850130
HVN,20170309,27.8439,28.1764,27.0959,27.2621,697404
HVN,20170310,27.0959,27.4283,26.5141,26.7634,1113605
HVN,20170313,26.7634,26.7634,25.9322,26.0153,1126914
HVN,20170314,26.0984,26.1815,25.2673,25.4335,1815647
