<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
RAL,20210423,233.0000,238.0000,231.6000,235.0000,24300,233.0000,238.0000,231.6000,235.0000,0,200,400
RAL,20210422,242.4000,250.0000,238.0000,238.0000,36800,242.4000,250.0000,238.0000,238.0000,0,400,500
RAL,20210420,240.0000,250.0000,234.0000,238.0000,12700,240.0000,250.0000,234.0000,238.0000,0,500,900
RAL,20210419,225.9000,239.5000,223.9000,239.5000,52600,225.9000,239.5000,223.9000,239.5000,0,300,1000
RAL,20210416,227.4000,227.4000,221.0000,223.9000,11400,227.4000,227.4000,221.0000,223.9000,0,100,700
RAL,20210415,230.0000,230.0000,223.0000,227.4000,9800,230.0000,230.0000,223.0000,227.4000,0,300,500
RAL,20210414,224.9000,230.0000,224.1000,230.0000,12400,224.9000,230.0000,224.1000,230.0000,0,400,1100
RAL,20210413,227.5000,227.6000,220.0000,224.9000,11600,227.5000,227.6000,220.0000,224.9000,0,100,200
RAL,20210412,220.0791,232.4431,220.0791,227.4975,19500,222.5000,235.0000,222.5000,230.0000,0,200,700
RAL,20210409,215.0346,222.5519,215.0346,220.0791,17600,217.4000,225.0000,217.4000,222.5000,0,600,600
RAL,20210408,215.6281,219.5845,215.0346,215.0346,11700,218.0000,222.0000,217.4000,217.4000,0,1800,700
RAL,20210407,217.1118,217.6063,213.7488,215.1335,18600,219.5000,220.0000,216.1000,217.5000,0,1100,2500
RAL,20210406,220.5737,221.5628,215.7270,215.7270,18600,223.0000,224.0000,218.1000,218.1000,0,0,2800
RAL,20210405,218.5955,222.5520,217.2107,217.3096,27700,221.0000,225.0000,219.6000,219.7000,0,200,6100
RAL,20210402,222.5520,222.5520,218.1009,218.5955,26300,225.0000,225.0000,220.5000,221.0000,0,600,5600
RAL,20210401,220.0792,225.5193,217.6064,219.5846,17500,222.5000,228.0000,220.0000,222.0000,0,400,4600
RAL,20210331,223.8378,226.4095,219.5846,219.5846,14600,226.3000,228.9000,222.0000,222.0000,0,200,700
RAL,20210330,223.5410,227.4975,220.5737,225.2226,14400,226.0000,230.0000,223.0000,227.7000,0,600,0
RAL,20210329,219.0900,225.4204,219.0900,222.5519,18400,221.5000,227.9000,221.5000,225.0000,0,4700,200
RAL,20210326,217.7053,220.5737,210.6825,219.0900,29700,220.1000,223.0000,213.0000,221.5000,0,400,300
RAL,20210325,223.5410,224.5301,217.6063,219.6835,7000,226.0000,227.0000,220.0000,222.1000,0,400,600
RAL,20210324,221.7607,228.4867,215.6281,223.4421,22400,224.2000,231.0000,218.0000,225.9000,0,200,700
RAL,20210323,224.5301,228.3877,224.5301,225.3215,24400,227.0000,230.9000,227.0000,227.8000,0,200,500
RAL,20210322,228.4866,230.4649,225.5193,228.4866,27400,231.0000,233.0000,228.0000,231.0000,0,600,500
RAL,20210319,231.4541,234.4214,227.6954,231.4540,15500,234.0000,237.0000,230.2000,234.0000,0,900,500
RAL,20210318,232.4431,232.4431,227.5964,231.8497,10600,235.0000,235.0000,230.1000,234.4000,0,600,200
RAL,20210317,220.7715,233.4322,220.6726,231.4540,18200,223.2000,236.0000,223.1000,234.0000,0,1300,0
RAL,20210316,222.5520,222.5520,218.9911,222.5519,23700,225.0000,225.0000,221.4000,225.0000,0,600,0
RAL,20210315,226.0138,226.0138,218.5954,222.0574,33000,228.5000,228.5000,221.0000,224.5000,0,1100,2000
RAL,20210312,225.9149,230.3660,225.9149,226.0138,29700,228.4000,232.9000,228.4000,228.5000,0,1100,1100
RAL,20210311,233.4323,233.4323,227.4976,229.6736,16100,236.0000,236.0000,230.0000,232.2000,0,1500,1400
RAL,20210310,233.6301,233.6301,226.6074,231.9486,21700,236.2000,236.2000,229.1000,234.5000,0,3200,1500
RAL,20210309,231.4540,239.3669,225.9149,231.8497,37800,234.0000,242.0000,228.4000,234.4000,0,5200,1700
RAL,20210308,211.6717,225.9150,211.6717,225.9149,57000,214.0000,228.4000,214.0000,228.4000,0,7500,0
